review_text,rating,review_date,product,category
배송이 정말 빨라서 놀랐어요. 주문한 다음날 바로 도착했습니다!,5,2026-06-01,블루투스 이어폰 X100,전자기기
음질이 기대 이상이에요. 저음이 특히 풍부합니다.,5,2026-06-02,블루투스 이어폰 X100,전자기기
디자인은 예쁜데 배터리가 생각보다 빨리 닳아요.,3,2026-06-03,블루투스 이어폰 X100,전자기기
가격 대비 성능이 훌륭합니다. 재구매 의사 있어요.,5,2026-06-05,블루투스 이어폰 X100,전자기기
착용감이 편해서 오래 껴도 아프지 않아요.,4,2026-06-08,블루투스 이어폰 X100,전자기기
연결이 가끔 끊겨서 불편했습니다.,2,2026-06-11,블루투스 이어폰 X100,전자기기
"Great sound quality for the price, very happy with this purchase.",5,2026-06-14,블루투스 이어폰 X100,전자기기
배송이 너무 늦어요. 일주일 넘게 걸렸습니다.,1,2026-06-25,블루투스 이어폰 X100,전자기기
고객센터 연결이 안됩니다. 답답해요.,1,2026-06-27,블루투스 이어폰 X100,전자기기
용량이 커서 폰을 세 번은 충전할 수 있어요. 만족합니다.,5,2026-06-01,보조배터리 파워팩 P20,전자기기
충전 속도가 빨라서 좋아요. 고속충전 지원 잘 되네요.,5,2026-06-04,보조배터리 파워팩 P20,전자기기
무게가 생각보다 무거워서 휴대하기 불편해요.,3,2026-06-06,보조배터리 파워팩 P20,전자기기
케이블이 헐거워서 충전이 자주 끊깁니다.,2,2026-06-09,보조배터리 파워팩 P20,전자기기
가성비 좋고 튼튼해 보여요. 추천합니다.,4,2026-06-13,보조배터리 파워팩 P20,전자기기
"Battery drains fast even when not in use, kind of disappointing.",2,2026-06-16,보조배터리 파워팩 P20,전자기기
일주일 쓰고 나니 완전히 고장났어요. 불량인 것 같습니다.,1,2026-06-26,보조배터리 파워팩 P20,전자기기
환불 요청했는데 처리가 너무 느립니다.,1,2026-06-28,보조배터리 파워팩 P20,전자기기
바람이 생각보다 약해요. 기대했던 것보다 아쉽습니다.,2,2026-06-06,휴대용 미니 선풍기 S3,생활가전
휴대하기 정말 편하고 가벼워요. 여름 필수템입니다.,5,2026-06-07,휴대용 미니 선풍기 S3,생활가전
충전이 빠르고 배터리도 오래갑니다.,5,2026-06-09,휴대용 미니 선풍기 S3,생활가전
소음이 좀 있는 편이에요. 조용한 곳에서는 신경쓰여요.,3,2026-06-10,휴대용 미니 선풍기 S3,생활가전
디자인이 귀엽고 색상도 예뻐서 만족합니다.,4,2026-06-12,휴대용 미니 선풍기 S3,생활가전
Fan works well but the battery indicator is inaccurate.,3,2026-06-15,휴대용 미니 선풍기 S3,생활가전
가성비 최고예요! 사무실에서 잘 쓰고 있습니다.,5,2026-06-17,휴대용 미니 선풍기 S3,생활가전
배터리가 하루도 못 가고 방전됩니다. 실망이에요.,1,2026-06-27,휴대용 미니 선풍기 S3,생활가전
흡입력이 강해서 카펫 먼지까지 싹 빨아들여요.,5,2026-06-02,무선 청소기 클린업 V2,생활가전
무선이라 편한데 배터리가 20분밖에 안 가요.,3,2026-06-05,무선 청소기 클린업 V2,생활가전
먼지통 비우기가 간편해서 좋습니다.,4,2026-06-08,무선 청소기 클린업 V2,생활가전
소음이 너무 커서 밤에는 못 쓰겠어요.,2,2026-06-11,무선 청소기 클린업 V2,생활가전
가벼워서 계단 청소할 때 진짜 편해요. 추천!,5,2026-06-14,무선 청소기 클린업 V2,생활가전
Handle broke after just two weeks of light use.,1,2026-06-24,무선 청소기 클린업 V2,생활가전
전원이 갑자기 꺼지는 증상이 반복됩니다. 불량 같아요.,1,2026-06-29,무선 청소기 클린업 V2,생활가전
매트 두께가 적당해서 무릎이 편해요.,5,2026-06-10,요가매트 프로,운동/피트니스
냄새가 좀 나는데 며칠 지나니 괜찮아졌어요.,3,2026-06-10,요가매트 프로,운동/피트니스
미끄럼 방지가 잘 되어 있어서 안전하게 운동할 수 있어요.,5,2026-06-11,요가매트 프로,운동/피트니스
두께에 비해 무거운 편이라 휴대성은 아쉬워요.,3,2026-06-11,요가매트 프로,운동/피트니스
